"ORDER_ID","CONTAINER_ID","SKU_ID"
1,1,105098
1,1,105098
1,1,177420
1,1,177420
1,1,177420
1,1,94389
1,1,136501
1,1,25116
1,1,25116
1,1,99863
1,1,66554
1,1,63682
1,1,28732
1,1,28732
1,1,127494
1,1,127494
1,1,127494
1,1,127494
2,2,24067
2,2,198746
2,2,198746
2,2,123292
2,2,123292
2,2,123292
2,2,123292
2,2,202630
2,2,202630
2,2,202630
2,2,202630
2,2,50901
2,2,50901
2,2,50901
2,2,50901
2,2,4502
2,2,77468
2,2,77468
2,2,77468
2,2,77468
2,2,101425
2,2,37377
2,2,37377
2,2,37377
2,2,170105
2,2,170105
2,2,170105
2,2,136102
2,2,58445
2,2,58445
2,2,58445
2,2,47866
2,2,47866
2,2,47866
2,2,47866
2,2,80449
2,2,80449
2,2,80449
2,2,65122
2,2,65122
2,2,3699
2,2,98158
2,2,98158
2,2,98158
2,2,69347
2,2,69347
2,2,68255
2,2,49959
3,3,105300
3,3,105300
3,3,105300
3,3,105300
3,3,105300
3,3,93611
3,3,93611
3,3,93611
3,3,196795
3,3,196795
3,3,196795
3,3,92827
3,3,92827
3,3,22407
3,3,83896
3,3,170071
3,3,170071
3,3,170071
3,3,136570
4,4,195844
4,4,195844
4,4,195844
4,4,195844
4,4,195844
4,4,119745
4,4,119745
4,4,119745
4,4,119745
4,4,119745
4,4,28202
4,4,120357
4,4,120357
4,4,40958
4,4,40958
4,4,40958
4,4,90976
4,4,90976
4,4,71475
4,4,71475
4,4,71475
4,4,71475
4,4,71475
5,5,177403
5,5,190718
5,5,190718
5,5,190718
5,5,65417
5,5,65417
5,5,65417
5,5,184822
5,5,184822
5,5,184822
5,5,184822
5,5,130053
5,5,130053
5,5,46078
5,5,46078
5,5,46078
5,5,46078
5,5,46078
5,5,160868
5,5,160868
5,5,160868
5,5,160868
5,5,50636
5,5,50636
5,5,50636
6,6,188457
6,6,188457
6,6,27684
6,6,27684
6,6,27684
6,6,27684
6,6,20711
6,6,20711
6,6,20711
6,6,20711
6,6,20711
6,6,64833
7,7,207981
7,7,207981
7,7,207981
7,7,207981
7,7,201104
7,7,201104
7,7,201104
7,7,201104
7,7,201104
7,7,185740
7,7,185740
7,7,159645
7,7,159645
7,7,159645
7,7,159645
7,7,159645
8,8,39954
8,8,39954
8,8,181440
8,8,181440
8,8,181440
8,8,181440
8,8,181440
8,8,59065
8,8,59065
8,8,59065
8,8,125253
8,8,125253
8,8,125253
8,8,125253
8,8,47750
8,8,47750
8,8,191084
8,8,191084
8,8,191084
8,8,20871
8,8,20871
8,8,22985
8,8,22985
8,8,22985
8,8,22985
8,8,22985
8,8,190438
8,8,190438
8,8,190438
8,8,10543
8,8,10543
8,8,129094
8,8,129094
8,8,129094
8,8,129094
8,8,129094
8,8,149921
8,8,149921
8,8,29711
8,8,29711
9,9,14297
9,9,14297
9,9,14297
9,9,14297
9,9,93782
9,9,93782
9,9,162034
9,9,162034
9,9,162034
9,9,162034
10,10,92917
10,10,92917
10,10,92917
10,10,168892
10,10,40201
10,10,40201
10,10,40201
10,10,40201
10,10,45665
10,10,45665
10,10,45665
10,10,45665
10,10,25386
10,10,25386
10,10,25386
10,10,120970
10,10,120970
10,10,120970
10,10,120970
10,10,120970
10,10,180756
10,10,180756
10,10,180756
10,10,180756
10,10,208837
10,10,208837
10,10,208837
10,10,208837
10,10,139121
10,10,139121
10,10,139121
10,10,139121
10,10,139121
10,10,31803

