"ORDER_ID","CONTAINER_ID","SKU_ID"
1,1,28732,7
1,1,28732,7
1,2,136501,6
1,2,94389,5
1,2,127494,5
1,2,127494,5
1,2,127494,5
1,2,127494,5
1,3,99863,4
1,3,105098,3
1,4,105098,3
1,5,177420,2
1,5,177420,2
1,5,177420,2
1,5,25116,1
1,5,25116,1
1,5,63682,1
1,5,66554,2
2,6,136102,7
2,6,69347,7
2,7,69347,7
2,8,123292,6
2,8,123292,6
2,8,123292,6
2,8,123292,6
2,8,98158,5
2,8,98158,5
2,8,98158,5
2,8,80449,6
2,8,80449,6
2,8,80449,6
2,9,24067,5
2,10,202630,3
2,10,202630,3
2,10,202630,3
2,10,202630,3
2,10,65122,4
2,10,65122,4
2,10,3699,4
2,10,170105,3
2,10,170105,3
2,10,170105,3
2,10,47866,4
2,10,47866,4
2,10,47866,4
2,10,47866,4
2,10,58445,4
2,10,58445,4
2,10,58445,4
2,10,37377,3
2,10,50901,4
2,10,50901,4
2,10,50901,4
2,11,37377,3
2,11,37377,3
2,11,50901,4
2,12,101425,1
2,12,198746,2
2,12,198746,2
2,12,77468,1
2,12,77468,1
2,12,77468,1
2,12,77468,1
2,12,49959,2
2,12,68255,2
2,12,4502,2
3,13,196795,8
3,13,196795,8
3,13,196795,8
3,13,92827,7
3,13,92827,7
3,14,83896,6
3,14,136570,6
3,15,105300,4
3,15,105300,4
3,15,105300,4
3,15,105300,4
3,15,105300,4
3,15,93611,3
3,15,93611,3
3,15,93611,3
3,16,22407,2
3,16,170071,1
3,16,170071,1
3,16,170071,1
4,17,40958,7
4,17,40958,7
4,17,40958,7
4,17,195844,7
4,17,195844,7
4,17,195844,7
4,17,195844,7
4,17,195844,7
4,17,119745,8
4,17,119745,8
4,17,119745,8
4,17,119745,8
4,17,119745,8
4,18,90976,5
4,18,90976,5
4,19,120357,4
4,19,120357,4
4,19,28202,3
4,20,71475,2
4,20,71475,2
4,20,71475,2
4,20,71475,2
4,20,71475,2
5,21,130053,8
5,21,130053,8
5,21,160868,7
5,21,160868,7
5,21,160868,7
5,21,160868,7
5,22,177403,6
5,22,184822,6
5,22,184822,6
5,22,184822,6
5,22,184822,6
5,22,190718,5
5,22,190718,5
5,22,190718,5
5,23,65417,3
5,23,65417,3
5,23,65417,3
5,23,46078,4
5,23,46078,4
5,23,46078,4
5,23,46078,4
5,23,46078,4
5,24,50636,2
5,24,50636,2
5,24,50636,2
6,25,188457,6
6,25,188457,6
6,25,27684,6
6,25,27684,6
6,25,27684,6
6,25,27684,6
6,25,64833,5
6,26,20711,3
6,26,20711,3
6,26,20711,3
6,26,20711,3
6,26,20711,3
7,27,201104,6
7,27,201104,6
7,27,201104,6
7,27,201104,6
7,27,201104,6
7,28,159645,4
7,28,159645,4
7,28,159645,4
7,28,159645,4
7,28,159645,4
7,29,207981,2
7,29,207981,2
7,29,207981,2
7,29,207981,2
7,29,185740,2
7,29,185740,2
8,30,29711,8
8,30,29711,8
8,30,190438,7
8,30,190438,7
8,30,190438,7
8,30,22985,7
8,30,22985,7
8,30,22985,7
8,30,22985,7
8,30,22985,7
8,30,59065,7
8,30,59065,7
8,30,59065,7
8,30,129094,8
8,30,129094,8
8,30,129094,8
8,30,129094,8
8,30,129094,8
8,31,181440,6
8,31,181440,6
8,31,181440,6
8,31,181440,6
8,31,181440,6
8,31,20871,5
8,31,20871,5
8,31,10543,6
8,31,10543,6
8,31,149921,5
8,31,149921,5
8,31,191084,6
8,31,191084,6
8,31,191084,6
8,32,39954,3
8,32,39954,3
8,32,47750,4
8,32,47750,4
8,32,125253,4
8,32,125253,4
8,32,125253,4
8,32,125253,4
9,33,162034,6
9,33,162034,6
9,33,162034,6
9,33,162034,6
9,33,14297,5
9,33,14297,5
9,33,14297,5
9,33,14297,5
9,34,93782,1
9,34,93782,1
10,35,208837,7
10,35,208837,7
10,35,208837,7
10,35,208837,7
10,35,139121,8
10,35,139121,8
10,35,139121,8
10,35,139121,8
10,35,139121,8
10,36,31803,6
10,36,120970,6
10,36,120970,6
10,36,120970,6
10,36,120970,6
10,36,120970,6
10,37,180756,3
10,37,180756,3
10,37,180756,3
10,37,180756,3
10,37,25386,4
10,37,25386,4
10,37,25386,4
10,37,92917,4
10,37,92917,4
10,37,92917,4
10,38,168892,1
10,38,45665,1
10,38,45665,1
10,38,45665,1
10,38,45665,1
10,38,40201,1
10,38,40201,1
10,38,40201,1
10,38,40201,1

