"ORDER_ID","CONTAINER_ID","SKU_ID"
1,1,186064
1,1,186064
1,1,186064
1,1,186064
1,1,186064
1,1,186064
1,1,186064
1,1,186064
1,1,186064
1,1,186064
1,1,186064
1,1,186064
1,1,25114
1,1,146693
1,1,55460
1,2,25114
1,2,25114
1,2,25114
1,2,25114
1,2,25114
1,2,25114
1,2,25114
1,2,25114
1,2,25114
1,2,146693
1,2,146693
1,2,146693
1,2,146693
1,2,146693
1,2,146693
1,2,146693
1,2,146693
1,2,146693
1,2,30275
1,2,30275
1,2,30275
1,2,45317
1,2,97687
1,3,30275
1,3,30275
1,3,30275
1,3,30275
1,3,93706
1,3,93706
1,3,93706
1,3,93706
1,3,93706
1,3,93706
1,3,93706
1,3,93706
1,3,93706
1,3,93706
1,3,93706
1,3,45317
1,3,45317
1,3,45317
1,3,45317
1,3,45317
1,3,45317
1,3,207466
1,3,207466
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,16826
1,3,76444
1,3,76444
1,3,76444
1,3,76444
1,3,76444
1,3,76444
1,3,76444
1,3,108131
1,4,76444
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,108131
1,4,55460
1,4,55460
1,4,55460
1,4,55460
1,4,55460
1,4,55460
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,97687
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,183628
1,4,182377
1,4,182377
1,4,182377
1,4,182377
2,5,5213
2,5,5213
2,5,5213
2,5,5213
2,5,5213
2,5,5213
2,5,5213
2,5,177673
2,5,177673
2,5,177673
2,5,177673
2,5,6010
2,5,119201
2,5,67707
2,6,6010
2,6,6010
2,6,6010
2,6,6010
2,6,6010
